"YEAR","JURISDICTION","Sum(OFFENSES_SUM)","Sum(FINES)","Sum(ARRESTS)","Sum(CHARGES)"
2008,"ACT",2060,2060,0,0
2008,"NSW",40882,40882,0,0
2008,"NT",671,671,0,0
2008,"QLD",28499,28499,0,0
2008,"SA",11411,11411,0,0
2008,"TAS",6780,6780,0,0
2008,"VIC",49739,49739,0,0
2008,"WA",15957,15957,0,0
2009,"ACT",1890,1890,0,0
2009,"NSW",41167,41167,0,0
2009,"NT",1106,1106,0,0
2009,"QLD",33352,33352,0,0
2009,"SA",14167,14167,0,0
2009,"TAS",5665,5665,0,0
2009,"VIC",53101,53101,0,0
2009,"WA",14804,14804,0,0
2010,"ACT",2407,2407,0,0
2010,"NSW",51104,51104,0,0
2010,"NT",998,998,0,0
2010,"QLD",33013,33013,0,0
2010,"SA",14139,14139,0,0
2010,"TAS",3735,3735,0,0
2010,"VIC",54728,54728,0,0
2010,"WA",11705,11705,0,0
2011,"ACT",2284,2284,0,0
2011,"NSW",46714,46714,0,0
2011,"NT",729,729,0,0
2011,"QLD",30389,30389,0,0
2011,"SA",13402,13402,0,0
2011,"TAS",3241,3241,0,0
2011,"VIC",52630,52630,0,0
2011,"WA",10485,10485,0,0
2012,"ACT",1722,1722,0,0
2012,"NSW",42900,42900,0,0
2012,"NT",722,722,0,0
2012,"QLD",28548,28548,0,0
2012,"SA",11623,11623,0,0
2012,"TAS",2141,2141,0,0
2012,"VIC",61497,61497,0,0
2012,"WA",17822,17822,0,0
2013,"ACT",1356,1356,0,0
2013,"NSW",33514,33514,0,0
2013,"NT",1058,1058,0,0
2013,"QLD",27998,27998,0,0
2013,"SA",12560,12560,0,0
2013,"TAS",2914,2914,0,0
2013,"VIC",52452,52452,0,0
2013,"WA",14563,14563,0,0
2014,"ACT",1115,1115,0,0
2014,"NSW",34952,34952,0,0
2014,"NT",517,517,0,0
2014,"QLD",25068,25068,0,0
2014,"SA",11886,11886,0,0
2014,"TAS",3256,3256,0,0
2014,"VIC",41448,41448,0,0
2014,"WA",14377,14377,0,0
2015,"ACT",873,873,0,0
2015,"NSW",37989,37989,0,0
2015,"NT",492,492,0,0
2015,"QLD",23048,23048,0,0
2015,"SA",12446,12446,0,0
2015,"TAS",3273,3273,0,0
2015,"VIC",33598,33598,0,0
2015,"WA",16666,16666,0,0
2016,"ACT",1120,1120,0,0
2016,"NSW",38918,38918,0,0
2016,"NT",535,535,0,0
2016,"QLD",17213,17213,0,0
2016,"SA",11153,11153,0,0
2016,"TAS",3191,3191,0,0
2016,"VIC",27925,27925,0,0
2016,"WA",14926,14926,0,0
2017,"ACT",1299,1299,0,0
2017,"NSW",41020,41020,0,0
2017,"NT",546,546,0,0
2017,"QLD",15043,15043,0,0
2017,"SA",11252,11252,0,0
2017,"TAS",2738,2738,0,0
2017,"VIC",29293,29293,0,0
2017,"WA",16718,16718,0,0
2018,"ACT",1399,1399,0,0
2018,"NSW",37653,37653,0,0
2018,"NT",861,861,0,0
2018,"QLD",12828,12828,0,0
2018,"SA",8471,8471,0,0
2018,"TAS",2614,2614,0,0
2018,"VIC",32458,32458,0,0
2018,"WA",17697,17697,0,0
2019,"ACT",1098,1098,0,0
2019,"NSW",25463,25463,0,0
2019,"NT",760,760,0,0
2019,"QLD",11580,11580,0,0
2019,"SA",7567,7567,0,0
2019,"TAS",2355,2355,0,0
2019,"VIC",36694,36694,0,0
2019,"WA",11850,11850,0,0
2020,"ACT",812,812,0,0
2020,"NSW",151725,151725,0,0
2020,"NT",380,380,0,0
2020,"QLD",4823,4823,0,0
2020,"SA",6325,6325,0,0
2020,"TAS",1966,1966,0,0
2020,"VIC",21231,21231,0,0
2020,"WA",7889,7889,0,0
2021,"ACT",544,544,0,0
2021,"NSW",174082,174082,0,0
2021,"NT",309,309,0,0
2021,"QLD",18547,18547,0,0
2021,"SA",4799,4799,0,0
2021,"TAS",2328,2328,0,0
2021,"VIC",15562,15562,0,0
2021,"WA",4909,4909,0,0
2022,"ACT",374,374,0,0
2022,"NSW",207697,207697,0,0
2022,"NT",302,302,0,0
2022,"QLD",121639,121639,0,0
2022,"SA",4583,4583,0,0
2022,"TAS",1973,1973,0,0
2022,"VIC",19428,19428,0,0
2022,"WA",6346,6346,0,0
2023,"ACT",288,288,0,0
2023,"NSW",216229,216042,0,187
2023,"NT",224,205,5,14
2023,"QLD",80292,80292,0,0
2023,"SA",5769,5769,0,0
2023,"TAS",2465,2428,0,37
2023,"VIC",49546,49546,0,0
2023,"WA",3756,3592,7,157
2024,"ACT",27140,27125,2,13
2024,"NSW",162205,161997,0,208
2024,"NT",256,244,1,11
2024,"QLD",75334,75334,0,0
2024,"SA",4605,4605,0,0
2024,"TAS",2847,2815,0,32
2024,"VIC",55075,55075,0,0
2024,"WA",3938,3731,4,203
