"YEAR","LOCATION","Sum(OFFENSES_SUM)","Sum(FINES)","Sum(ARRESTS)","Sum(CHARGES)"
2023,"Inner Regional Australia",7421,7399,0,22
2023,"Major Cities of Australia",53763,53606,0,157
2023,"Outer Regional Australia",780,775,0,5
2023,"Remote Australia",19,18,0,1
2023,"Unknown",296581,296359,12,210
2023,"Very Remote Australia",5,5,0,0
2024,"Inner Regional Australia",7147,7126,0,21
2024,"Major Cities of Australia",80406,80219,2,185
2024,"Outer Regional Australia",843,837,0,6
2024,"Remote Australia",61,58,0,3
2024,"Unknown",242914,242658,5,251
2024,"Very Remote Australia",29,28,0,1
