"YEAR","JURISDICTION","LOCATION","AGE_GROUP","DETECTION_METHOD","FINES","ARRESTS","CHARGES","OFFENSES_SUM"
2008,"ACT","All regions","All ages","Police issued",2060,0,0,2060
2008,"NSW","All regions","All ages","Police issued",40882,0,0,40882
2008,"NT","All regions","All ages","Police issued",671,0,0,671
2008,"QLD","All regions","All ages","Police issued",28499,0,0,28499
2008,"SA","All regions","All ages","Police issued",11411,0,0,11411
2008,"TAS","All regions","All ages","Police issued",6780,0,0,6780
2008,"VIC","All regions","All ages","Police issued",49739,0,0,49739
2008,"WA","All regions","All ages","Police issued",15957,0,0,15957
2009,"ACT","All regions","All ages","Police issued",1890,0,0,1890
2009,"NSW","All regions","All ages","Police issued",41167,0,0,41167
2009,"NT","All regions","All ages","Police issued",1106,0,0,1106
2009,"QLD","All regions","All ages","Police issued",33352,0,0,33352
2009,"SA","All regions","All ages","Police issued",14167,0,0,14167
2009,"TAS","All regions","All ages","Police issued",5665,0,0,5665
2009,"VIC","All regions","All ages","Police issued",53101,0,0,53101
2009,"WA","All regions","All ages","Police issued",14804,0,0,14804
2010,"ACT","All regions","All ages","Police issued",2407,0,0,2407
2010,"NSW","All regions","All ages","Police issued",51104,0,0,51104
2010,"NT","All regions","All ages","Police issued",998,0,0,998
2010,"QLD","All regions","All ages","Police issued",33013,0,0,33013
2010,"SA","All regions","All ages","Police issued",14139,0,0,14139
2010,"TAS","All regions","All ages","Police issued",3735,0,0,3735
2010,"VIC","All regions","All ages","Police issued",54728,0,0,54728
2010,"WA","All regions","All ages","Police issued",11705,0,0,11705
2011,"ACT","All regions","All ages","Police issued",2284,0,0,2284
2011,"NSW","All regions","All ages","Police issued",46714,0,0,46714
2011,"NT","All regions","All ages","Police issued",729,0,0,729
2011,"QLD","All regions","All ages","Police issued",30389,0,0,30389
2011,"SA","All regions","All ages","Police issued",13402,0,0,13402
2011,"TAS","All regions","All ages","Police issued",3241,0,0,3241
2011,"VIC","All regions","All ages","Police issued",52630,0,0,52630
2011,"WA","All regions","All ages","Police issued",10485,0,0,10485
2012,"ACT","All regions","All ages","Police issued",1722,0,0,1722
2012,"NSW","All regions","All ages","Police issued",42900,0,0,42900
2012,"NT","All regions","All ages","Police issued",722,0,0,722
