"YEAR","JURISDICTION","Sum(OFFENSES_SUM)","Sum(FINES)","Sum(ARRESTS)","Sum(CHARGES)"
2017,"NSW",22954,22954,0,0
2017,"WA",7309,7309,0,0
2018,"ACT",197,197,0,0
2018,"NSW",21553,21553,0,0
2018,"NT",2558,2558,0,0
2018,"QLD",8789,8789,0,0
2018,"SA",4909,4909,0,0
2018,"VIC",13595,13595,0,0
2018,"WA",5953,5953,0,0
2019,"ACT",174,174,0,0
2019,"NSW",19355,19355,0,0
2019,"NT",3521,3521,0,0
2019,"QLD",9009,9009,0,0
2019,"SA",4386,4386,0,0
2019,"VIC",11835,11835,0,0
2019,"WA",4469,4469,0,0
2020,"ACT",143,143,0,0
2020,"NSW",11720,11720,0,0
2020,"NT",2111,2111,0,0
2020,"QLD",6108,6108,0,0
2020,"SA",3935,3935,0,0
2020,"TAS",1332,1332,0,0
2020,"VIC",7757,7757,0,0
2020,"WA",2804,2804,0,0
2021,"ACT",60,60,0,0
2021,"NSW",9602,9602,0,0
2021,"NT",1123,1123,0,0
2021,"QLD",10397,10397,0,0
2021,"SA",2684,2684,0,0
2021,"TAS",1129,1129,0,0
2021,"VIC",6342,6342,0,0
2021,"WA",1856,1856,0,0
2022,"ACT",41,41,0,0
2022,"NSW",9722,9722,0,0
2022,"NT",1166,1166,0,0
2022,"QLD",55927,55927,0,0
2022,"SA",3046,3046,0,0
2022,"TAS",890,890,0,0
2022,"VIC",7492,7492,0,0
2022,"WA",2186,2186,0,0
2023,"ACT",75,75,0,0
2023,"NSW",10513,10246,0,267
2023,"NT",1184,789,47,348
2023,"QLD",37530,37530,0,0
2023,"SA",2884,2884,0,0
2023,"TAS",2120,2070,0,50
2023,"VIC",30400,30400,0,0
2023,"WA",2140,1774,19,347
2024,"ACT",67,59,1,7
2024,"NSW",81206,80970,0,236
2024,"NT",1909,984,60,865
2024,"QLD",39530,39530,0,0
2024,"SA",2522,2522,0,0
2024,"TAS",4186,4105,2,79
2024,"VIC",53204,53204,0,0
2024,"WA",2347,1941,23,383
