"YEAR","JURISDICTION","Sum(OFFENSES_SUM)","Sum(FINES)","Sum(ARRESTS)","Sum(CHARGES)","Total","COUNT_PER_10K"
2017,"NSW",22954,22954,0,0,5439711,42
2018,"NSW",21553,21553,0,0,5529185,39
2019,"NSW",19355,19355,0,0,5606175,35
2020,"NSW",11720,11720,0,0,5648327,21
2021,"NSW",9602,9602,0,0,5775889,17
2022,"NSW",9722,9722,0,0,5960216,16
2023,"NSW",10513,10246,0,267,6040358,17
2024,"NSW",81206,80970,0,236,6166226,132
2018,"VIC",13595,13595,0,0,4665764,29
2019,"VIC",11835,11835,0,0,4748539,25
2020,"VIC",7757,7757,0,0,4807706,16
2021,"VIC",6342,6342,0,0,4895143,13
2022,"VIC",7492,7492,0,0,4968836,15
2023,"VIC",30400,30400,0,0,5097911,60
2024,"VIC",53204,53204,0,0,5260408,101
2018,"QLD",8789,8789,0,0,3657643,24
2019,"QLD",9009,9009,0,0,3719766,24
2020,"QLD",6108,6108,0,0,3806397,16
2021,"QLD",10397,10397,0,0,3888986,27
2022,"QLD",55927,55927,0,0,3973138,141
2023,"QLD",37530,37530,0,0,4051724,93
2024,"QLD",39530,39530,0,0,4154952,95
2018,"SA",4909,4909,0,0,1246015,39
2019,"SA",4386,4386,0,0,1258216,35
2020,"SA",3935,3935,0,0,1271958,31
2021,"SA",2684,2684,0,0,1294479,21
2022,"SA",3046,3046,0,0,1329139,23
2023,"SA",2884,2884,0,0,1340060,22
2024,"SA",2522,2522,0,0,1362548,19
2017,"WA",7309,7309,0,0,1965031,37
2018,"WA",5953,5953,0,0,1977775,30
2019,"WA",4469,4469,0,0,1992380,22
2020,"WA",2804,2804,0,0,2013336,14
2021,"WA",1856,1856,0,0,2036282,9
2022,"WA",2186,2186,0,0,2078263,11
2023,"WA",2140,1774,19,347,2132257,10
2024,"WA",2347,1941,23,383,2194816,11
2020,"TAS",1332,1332,0,0,406437,33
2021,"TAS",1129,1129,0,0,416263,27
2022,"TAS",890,890,0,0,423676,21
2023,"TAS",2120,2070,0,50,426528,50
2024,"TAS",4186,4105,2,79,429865,97
2018,"NT",2558,2558,0,0,157296,163
2019,"NT",3521,3521,0,0,156344,225
2020,"NT",2111,2111,0,0,157831,134
2021,"NT",1123,1123,0,0,159208,71
2022,"NT",1166,1166,0,0,159063,73
2023,"NT",1184,789,47,348,161361,73
2024,"NT",1909,984,60,865,163416,117
2018,"ACT",197,197,0,0,330574,6
2019,"ACT",174,174,0,0,329637,5
2020,"ACT",143,143,0,0,326495,4
2021,"ACT",60,60,0,0,326454,2
2022,"ACT",41,41,0,0,334900,1
2023,"ACT",75,75,0,0,341420,2
2024,"ACT",67,59,1,7,347892,2
