"YEAR","LOCATION","Sum(OFFENSES_SUM)","Sum(FINES)","Sum(ARRESTS)","Sum(CHARGES)"
2023,"Inner Regional Australia",11821,11754,0,67
2023,"Major Cities of Australia",26099,25931,0,168
2023,"Outer Regional Australia",1785,1764,0,21
2023,"Remote Australia",130,127,0,3
2023,"Unknown",46976,46160,66,750
2023,"Very Remote Australia",35,32,0,3
2024,"Inner Regional Australia",9183,9109,0,74
2024,"Major Cities of Australia",48629,48498,1,130
2024,"Outer Regional Australia",2234,2209,0,25
2024,"Remote Australia",229,220,0,9
2024,"Unknown",124489,123075,85,1329
2024,"Very Remote Australia",207,204,0,3
