"YEAR","JURISDICTION","LOCATION","AGE_GROUP","DETECTION_METHOD","FINES","ARRESTS","CHARGES","OFFENSES_SUM"
2017,"NSW","All regions","All ages","Camera",28,0,0,28
2017,"NSW","All regions","All ages","Police issued",22926,0,0,22926
2017,"WA","All regions","All ages","Police issued",7309,0,0,7309
2018,"ACT","All regions","All ages","Police issued",197,0,0,197
2018,"NSW","All regions","All ages","Camera",15,0,0,15
2018,"NSW","All regions","All ages","Police issued",21538,0,0,21538
2018,"NT","All regions","All ages","Police issued",2558,0,0,2558
2018,"QLD","All regions","All ages","Police issued",8789,0,0,8789
2018,"SA","All regions","All ages","Police issued",4909,0,0,4909
2018,"VIC","All regions","All ages","Police issued",13595,0,0,13595
2018,"WA","All regions","All ages","Police issued",5953,0,0,5953
2019,"ACT","All regions","All ages","Police issued",174,0,0,174
2019,"NSW","All regions","All ages","Camera",7,0,0,7
2019,"NSW","All regions","All ages","Police issued",19348,0,0,19348
2019,"NT","All regions","All ages","Police issued",3521,0,0,3521
2019,"QLD","All regions","All ages","Police issued",9009,0,0,9009
2019,"SA","All regions","All ages","Police issued",4386,0,0,4386
2019,"VIC","All regions","All ages","Police issued",11835,0,0,11835
2019,"WA","All regions","All ages","Police issued",4469,0,0,4469
2020,"ACT","All regions","All ages","Police issued",143,0,0,143
2020,"NSW","All regions","All ages","Camera",5,0,0,5
2020,"NSW","All regions","All ages","Police issued",11715,0,0,11715
2020,"NT","All regions","All ages","Police issued",2111,0,0,2111
2020,"QLD","All regions","All ages","Police issued",6108,0,0,6108
2020,"SA","All regions","All ages","Police issued",3935,0,0,3935
2020,"TAS","All regions","All ages","Police issued",1332,0,0,1332
2020,"VIC","All regions","All ages","Police issued",7757,0,0,7757
2020,"WA","All regions","All ages","Police issued",2804,0,0,2804
2021,"ACT","All regions","All ages","Police issued",60,0,0,60
2021,"NSW","All regions","All ages","Camera",5,0,0,5
2021,"NSW","All regions","All ages","Police issued",9597,0,0,9597
2021,"NT","All regions","All ages","Police issued",1123,0,0,1123
2021,"QLD","All regions","All ages","Camera",5346,0,0,5346
2021,"QLD","All regions","All ages","Police issued",5051,0,0,5051
2021,"SA","All regions","All ages","Police issued",2684,0,0,2684
2021,"TAS","All regions","All ages","Police issued",1129,0,0,1129
2021,"VIC","All regions","All ages","Police issued",6342,0,0,6342
2021,"WA","All regions","All ages","Police issued",1856,0,0,1856
2022,"ACT","All regions","All ages","Police issued",41,0,0,41
2022,"NSW","All regions","All ages","Camera",2,0,0,2
2022,"NSW","All regions","All ages","Police issued",9720,0,0,9720
2022,"NT","All regions","All ages","Police issued",1166,0,0,1166
2022,"QLD","All regions","All ages","Camera",52079,0,0,52079
2022,"QLD","All regions","All ages","Police issued",3848,0,0,3848
2022,"SA","All regions","All ages","Police issued",3046,0,0,3046
2022,"TAS","All regions","All ages","Police issued",890,0,0,890
2022,"VIC","All regions","All ages","Police issued",7492,0,0,7492
2022,"WA","All regions","All ages","Police issued",2186,0,0,2186
2023,"ACT","Major Cities of Australia","0-16","Police issued",4,0,0,4
2023,"ACT","Major Cities of Australia","17-25","Police issued",27,0,0,27
2023,"ACT","Major Cities of Australia","26-39","Police issued",21,0,0,21
2023,"ACT","Major Cities of Australia","40-64","Police issued",21,0,0,21
2023,"ACT","Major Cities of Australia","65 and over","Police issued",2,0,0,2
2023,"NSW","Inner Regional Australia","0-16","Police issued",25,0,8,33
2023,"NSW","Inner Regional Australia","17-25","Police issued",835,0,24,859
2023,"NSW","Inner Regional Australia","26-39","Police issued",1291,0,21,1312
2023,"NSW","Inner Regional Australia","40-64","Police issued",873,0,14,887
2023,"NSW","Inner Regional Australia","65 and over","Police issued",192,0,0,192
2023,"NSW","Major Cities of Australia","0-16","Police issued",30,0,5,35
2023,"NSW","Major Cities of Australia","17-25","Police issued",1464,0,44,1508
2023,"NSW","Major Cities of Australia","26-39","Police issued",2225,0,76,2301
2023,"NSW","Major Cities of Australia","40-64","Police issued",1489,0,38,1527
2023,"NSW","Major Cities of Australia","65 and over","Police issued",226,0,5,231
2023,"NSW","Outer Regional Australia","0-16","Police issued",7,0,0,7
2023,"NSW","Outer Regional Australia","17-25","Police issued",264,0,5,269
2023,"NSW","Outer Regional Australia","26-39","Police issued",479,0,8,487
