"YEAR","JURISDICTION","LOCATION","AGE_GROUP","DETECTION_METHOD","FINES","ARRESTS","CHARGES","OFFENSES_SUM"
2024,"NSW","Major Cities of Australia","40-64","Police issued",151,0,2,153
2024,"NSW","Major Cities of Australia","65 and over","Police issued",24,0,0,24
2024,"NSW","Outer Regional Australia","0-16","Police issued",1,0,1,2
2024,"NSW","Outer Regional Australia","17-25","Police issued",17,0,0,17
2024,"NSW","Outer Regional Australia","26-39","Police issued",43,0,0,43
2024,"NSW","Outer Regional Australia","40-64","Police issued",20,0,6,26
2024,"NSW","Outer Regional Australia","65 and over","Police issued",8,0,0,8
2024,"NSW","Remote Australia","17-25","Police issued",6,0,1,7
2024,"NSW","Remote Australia","26-39","Police issued",9,0,0,9
2024,"NSW","Remote Australia","40-64","Police issued",3,0,0,3
2024,"NSW","Remote Australia","65 and over","Police issued",3,0,0,3
2024,"NSW","Unknown","17-25","Police issued",11,0,0,11
2024,"NSW","Unknown","26-39","Police issued",17,0,0,17
2024,"NSW","Unknown","40-64","Police issued",15,0,0,15
2024,"NSW","Unknown","65 and over","Police issued",3,0,0,3
2024,"NSW","Very Remote Australia","17-25","Police issued",1,0,0,1
2024,"NSW","Very Remote Australia","26-39","Police issued",2,0,0,2
2024,"NSW","Very Remote Australia","40-64","Police issued",1,0,0,1
2024,"NT","Unknown","0-16","Police issued",0,0,3,3
2024,"NT","Unknown","17-25","Police issued",6,0,3,9
2024,"NT","Unknown","26-39","Police issued",17,0,14,31
2024,"NT","Unknown","40-64","Police issued",13,0,7,20
2024,"NT","Unknown","65 and over","Police issued",1,0,0,1
2024,"QLD","Unknown","0-16","Camera",42,0,0,42
2024,"QLD","Unknown","17-25","Camera",386,0,0,386
2024,"QLD","Unknown","17-25","Police issued",99,0,0,99
2024,"QLD","Unknown","26-39","Camera",1150,0,0,1150
2024,"QLD","Unknown","26-39","Police issued",116,0,0,116
2024,"QLD","Unknown","40-64","Camera",1157,0,0,1157
2024,"QLD","Unknown","40-64","Police issued",93,0,0,93
2024,"QLD","Unknown","65 and over","Camera",247,0,0,247
2024,"QLD","Unknown","65 and over","Police issued",14,0,0,14
2024,"QLD","Unknown","Unknown","Camera",19,0,0,19
2024,"SA","Inner Regional Australia","0-16","Police issued",1,0,0,1
2024,"SA","Inner Regional Australia","17-25","Police issued",7,0,0,7
2024,"SA","Inner Regional Australia","26-39","Police issued",13,0,0,13
2024,"SA","Inner Regional Australia","40-64","Police issued",21,0,0,21
2024,"SA","Inner Regional Australia","65 and over","Police issued",7,0,0,7
2024,"SA","Major Cities of Australia","0-16","Police issued",2,0,0,2
2024,"SA","Major Cities of Australia","17-25","Police issued",30,0,0,30
2024,"SA","Major Cities of Australia","26-39","Police issued",32,0,0,32
2024,"SA","Major Cities of Australia","40-64","Police issued",42,0,0,42
2024,"SA","Major Cities of Australia","65 and over","Police issued",24,0,0,24
2024,"SA","Outer Regional Australia","0-16","Police issued",1,0,0,1
2024,"SA","Outer Regional Australia","17-25","Police issued",12,0,0,12
2024,"SA","Outer Regional Australia","26-39","Police issued",13,0,0,13
2024,"SA","Outer Regional Australia","40-64","Police issued",15,0,0,15
2024,"SA","Outer Regional Australia","65 and over","Police issued",7,0,0,7
2024,"SA","Remote Australia","17-25","Police issued",2,0,0,2
2024,"SA","Remote Australia","26-39","Police issued",4,0,0,4
2024,"SA","Remote Australia","40-64","Police issued",4,0,0,4
2024,"SA","Remote Australia","65 and over","Police issued",5,0,0,5
2024,"SA","Unknown","40-64","Police issued",1,0,0,1
2024,"SA","Unknown","65 and over","Police issued",1,0,0,1
2024,"SA","Very Remote Australia","17-25","Police issued",1,0,0,1
2024,"SA","Very Remote Australia","26-39","Police issued",7,0,0,7
2024,"SA","Very Remote Australia","40-64","Police issued",5,0,0,5
2024,"SA","Very Remote Australia","65 and over","Police issued",1,0,0,1
2024,"TAS","Unknown","0-16","Camera",1,0,0,1
2024,"TAS","Unknown","17-25","Camera",50,0,0,50
2024,"TAS","Unknown","17-25","Police issued",18,0,2,20
2024,"TAS","Unknown","26-39","Camera",146,0,0,146
2024,"TAS","Unknown","26-39","Police issued",30,0,3,33
2024,"TAS","Unknown","40-64","Camera",143,0,0,143
2024,"TAS","Unknown","40-64","Police issued",27,0,0,27
2024,"TAS","Unknown","65 and over","Camera",71,0,0,71
2024,"TAS","Unknown","65 and over","Police issued",16,0,1,17
2024,"VIC","Inner Regional Australia","0-16","Camera",0,0,0,0
2024,"VIC","Inner Regional Australia","0-16","Camera",0,0,0,0
2024,"VIC","Inner Regional Australia","17-25","Camera",0,0,0,0
2024,"VIC","Inner Regional Australia","17-25","Camera",64,0,0,64
2024,"VIC","Inner Regional Australia","26-39","Camera",0,0,0,0
2024,"VIC","Inner Regional Australia","26-39","Camera",217,0,0,217
2024,"VIC","Inner Regional Australia","40-64","Camera",0,0,0,0
2024,"VIC","Inner Regional Australia","40-64","Camera",338,0,0,338
2024,"VIC","Inner Regional Australia","65 and over","Camera",0,0,0,0
2024,"VIC","Inner Regional Australia","65 and over","Camera",124,0,0,124
2024,"VIC","Inner Regional Australia","Unknown","Camera",0,0,0,0
2024,"VIC","Inner Regional Australia","Unknown","Camera",163,0,0,163
2024,"VIC","Major Cities of Australia","0-16","Camera",0,0,0,0
2024,"VIC","Major Cities of Australia","0-16","Camera",0,0,0,0
2024,"VIC","Major Cities of Australia","17-25","Camera",0,0,0,0
2024,"VIC","Major Cities of Australia","17-25","Camera",260,0,0,260
2024,"VIC","Major Cities of Australia","26-39","Camera",0,0,0,0
2024,"VIC","Major Cities of Australia","26-39","Camera",1167,0,0,1167
2024,"VIC","Major Cities of Australia","40-64","Camera",0,0,0,0
2024,"VIC","Major Cities of Australia","40-64","Camera",1662,0,0,1662
2024,"VIC","Major Cities of Australia","65 and over","Camera",0,0,0,0
2024,"VIC","Major Cities of Australia","65 and over","Camera",521,0,0,521
2024,"VIC","Major Cities of Australia","Unknown","Camera",0,0,0,0
2024,"VIC","Major Cities of Australia","Unknown","Camera",954,0,0,954
2024,"VIC","Outer Regional Australia","0-16","Camera",0,0,0,0
2024,"VIC","Outer Regional Australia","0-16","Camera",0,0,0,0
2024,"VIC","Outer Regional Australia","17-25","Camera",0,0,0,0
2024,"VIC","Outer Regional Australia","17-25","Camera",0,0,0,0
2024,"VIC","Outer Regional Australia","26-39","Camera",0,0,0,0
2024,"VIC","Outer Regional Australia","26-39","Camera",0,0,0,0
2024,"VIC","Outer Regional Australia","40-64","Camera",0,0,0,0
2024,"VIC","Outer Regional Australia","40-64","Camera",0,0,0,0
2024,"VIC","Outer Regional Australia","65 and over","Camera",0,0,0,0
2024,"VIC","Outer Regional Australia","65 and over","Camera",0,0,0,0
2024,"VIC","Outer Regional Australia","Unknown","Camera",0,0,0,0
2024,"VIC","Outer Regional Australia","Unknown","Camera",0,0,0,0
2024,"VIC","Remote Australia","0-16","Camera",0,0,0,0
2024,"VIC","Remote Australia","0-16","Camera",0,0,0,0
2024,"VIC","Remote Australia","17-25","Camera",0,0,0,0
2024,"VIC","Remote Australia","17-25","Camera",0,0,0,0
2024,"VIC","Remote Australia","26-39","Camera",0,0,0,0
2024,"VIC","Remote Australia","26-39","Camera",0,0,0,0
2024,"VIC","Remote Australia","40-64","Camera",0,0,0,0
2024,"VIC","Remote Australia","40-64","Camera",0,0,0,0
2024,"VIC","Remote Australia","65 and over","Camera",0,0,0,0
2024,"VIC","Remote Australia","65 and over","Camera",0,0,0,0
2024,"VIC","Remote Australia","Unknown","Camera",0,0,0,0
2024,"VIC","Remote Australia","Unknown","Camera",0,0,0,0
2024,"VIC","Unknown","0-16","Camera",0,0,0,0
2024,"VIC","Unknown","0-16","Camera",0,0,0,0
2024,"VIC","Unknown","0-16","Police issued",1,0,0,1
2024,"VIC","Unknown","17-25","Camera",0,0,0,0
2024,"VIC","Unknown","17-25","Camera",0,0,0,0
2024,"VIC","Unknown","17-25","Police issued",102,0,0,102
2024,"VIC","Unknown","26-39","Camera",0,0,0,0
2024,"VIC","Unknown","26-39","Camera",0,0,0,0
2024,"VIC","Unknown","26-39","Police issued",213,0,0,213
2024,"VIC","Unknown","40-64","Camera",0,0,0,0
2024,"VIC","Unknown","40-64","Camera",0,0,0,0
2024,"VIC","Unknown","40-64","Police issued",171,0,0,171
2024,"VIC","Unknown","65 and over","Camera",0,0,0,0
2024,"VIC","Unknown","65 and over","Camera",0,0,0,0
2024,"VIC","Unknown","65 and over","Police issued",35,0,0,35
2024,"VIC","Unknown","Unknown","Camera",0,0,0,0
2024,"VIC","Unknown","Unknown","Camera",0,0,0,0
2024,"VIC","Unknown","Unknown","Police issued",1,0,0,1
2024,"WA","Unknown","17-25","Police issued",75,0,0,75
2024,"WA","Unknown","17-25","Unknown",0,2,10,12
2024,"WA","Unknown","26-39","Police issued",112,0,0,112
2024,"WA","Unknown","26-39","Unknown",0,3,17,20
2024,"WA","Unknown","40-64","Police issued",68,0,0,68
2024,"WA","Unknown","40-64","Unknown",0,0,3,3
2024,"WA","Unknown","65 and over","Police issued",13,0,0,13
2024,"ACT","Major Cities of Australia","17-25","Police issued",6,0,0,6
2024,"ACT","Major Cities of Australia","26-39","Police issued",4,1,1,6
2024,"NSW","Inner Regional Australia","17-25","Police issued",68,0,2,70
2024,"NSW","Inner Regional Australia","26-39","Police issued",96,0,1,97
2024,"NSW","Inner Regional Australia","40-64","Police issued",79,0,1,80
2024,"NSW","Inner Regional Australia","65 and over","Police issued",22,0,0,22
2024,"NSW","Major Cities of Australia","0-16","Police issued",4,0,0,4
2024,"NSW","Major Cities of Australia","17-25","Police issued",122,0,5,127
2024,"NSW","Major Cities of Australia","26-39","Police issued",178,0,7,185
2024,"NSW","Major Cities of Australia","40-64","Police issued",131,0,3,134
2024,"NSW","Major Cities of Australia","65 and over","Police issued",18,0,0,18
